크레딧명,참여사명,배역,기타,KMDb 영화정보관리번호
배급사,㈜액티버스엔터테인먼트,,,K23364
제작사,강 컨텐츠,,,K23509
배급사,한양제작소,,,K26754
배급사,리틀빅픽처스,,,K26754
제작사,프로젝트 위기,,,A10545
제작사,주식회사 씨엠닉스,,,A10545
제작사,㈜노던크로스,,,K24497
제작사,GDH,,,K24497
제작사,다큐이야기,,,A09995
제작사,성북장애인자립생활센터,,,A11329
제작사,아남네시스필름,,,A09126
배급사,장산시네마,,,K22937
제작사,한국문화예술위원회,주최,,A09747
제작사,입과손스튜디오,공연제작,,A09747
제작사,연두픽처스,영상제작,,A09747
투자사,메가박스중앙㈜,제공/제작투자,,A10500
제작사,주식회사 비싸이드픽쳐스,,,K25389
제작사,하이엔드 픽쳐스,,,K25389
투자사,(주)콘텐츠패밀리,,,K25389
배급사,(주)콘텐츠패밀리,,,K25389
투자사,주식회사 비싸이드 픽쳐스,,,K25389
배급사,㈜엣나인필름,,,A10098
배급사,원픽쳐스,,,K27379
제작사,앤드마크스튜디오,,,K30302
제작사,이상우필름,,,K27436
제작사,강 컨텐츠,,,A09787
배급사,목영엘티디,,,K23344
제작사,EMK뮤지컬컴퍼니,,,A10625
제작사,(주)위즈온센,,,A10625
배급사,롯데엔터테인먼트,,,A10625
배급사,호우주의보,,,K23602
제작사,게이트 6,,,K21036
배급사,호우주의보,,,K18173
배급사,호우주의보,,,K20930
배급사,호우주의보,,,K24599
배급사,㈜엣나인필름,배급,,K23122
배급사,㈜화인컷,해외배급,,K23122
배급사,㈜스튜디오 디에이치엘,,,K24539
배급사,퍼니콘,,,K23951
투자사,㈜쇼박스,,,K24497
제작사,레드펀트,,,A10125
배급사,필름다빈,,,A10125
투자사,(주)더그레이트컴퍼니,,,K26017
배급사,넷플릭스서비시스코리아 유한회사,,,K23866
배급사,호우주의보,,,K17370
배급사,퍼니콘,,,K21857
제작사,(주)이로츠,,,A10113
제작사,빈스로드,,,A10113
제작사,㈜인디스토리,,,A10114
배급사,㈜인디스토리,,,A10114
배급사,㈜예지림엔터테인먼트,,,K22362
제작사,모그픽쳐스,,,K26017
제작사,더그레이트컴퍼니,,,K26017
제작사,주식회사 플릭스코,,,K26018
배급사,리틀빅픽처스,,,K22837
투자사,(주)영진크리에이티브,,,K26604
제작사,한국예술종합학교 영상원,,,K12966
제작사,국립국악관현악단,,,A10551
배급사,(주)이놀미디어,,,K27232
제작사,문화체육관광부 국립극장,,,A10551
제작사,주식회사 시네마틱퍼슨,,,A10144
배급사,(주)넥스트엔터테인먼트월드(NEW),,,A10144
배급사,주식회사 씨엠닉스,,,K19949
제작사,(주)비리프,,,K21582
투자사,롯데엔터테인먼트,제공,,K17515
투자사,쏠레어파트너스,공동제공,,K17515
투자사,타임와이즈인베스트먼트㈜,공동제공,,K17515
투자사,KC벤처스㈜,공동제공,,K17515
투자사,캐피탈원㈜,공동제공,,K17515
투자사,㈜이수창업투자,공동제공,,K17515
투자사,IBK기업은행,공동제공,,K17515
투자사,한국방송광고진흥공사,공동제공,,K17515
투자사,㈜티지씨케이파트너스,공동제공,,K17515
투자사,한국투자파트너스㈜,공동제공,,K17515
투자사,KDB산은캐피탈,공동제공,,K17515
투자사,주식회사 대교인베스트먼트,공동제공,,K17515
배급사,㈜드림팩트엔터테인먼트,,,A10587
제작사,이상우필름,,,K27366
제작사,원픽쳐스,,,K27379
제작사,고양이구름 필름,,,A10587
배급사,호우주의보,,,K24605
배급사,㈜시네마달,,,A10312
배급사,이상우필름,배급,,K26455
배급사,㈜미로비젼,해외배급,,K26455
